T,C,Ro,U,La,Pr
10,4191,999,1306,0.574,9.52
20,4183,998,1004,0.599,7.02
30,4174,996,802,0.618,5.42
40,4174,992,653,0.635,4.31
50,4181,988,549,0.648,3.54
60,4182,983,470,0.659,2.93
70,4187,978,406,0.668,2.55
80,4195,972,355,0.674,2.21
